system,workload,stage,block_latency,classifier_latency
sys_MMMM,0_4_5_7_11,4,190978.0,77279.0
sys_MMMM,0_4_5_7_11,5,565783.0,214719.0
sys_MMMM,2_3_4_5_9_11,1,167306.0,11495.0
sys_MMMM,2_3_4_5_9_11,2,75667.0,19935.0
sys_MMMM,2_3_4_5_9_11,3,105665.0,19935.0
sys_MMMM,2_3_4_5_9_11,4,54657.0,35135.0
sys_MMMM,2_3_4_5_9_11,5,485509.0,56159.0
sys_MMMM,2_3_4_5_9_11,6,271252.0,214719.0
sys_MMMM,0_1_5_8_9_11,1,29987.0,10280.0
sys_MMMM,0_1_5_8_9_11,2,55721.0,21852.0
sys_MMMM,0_1_5_8_9_11,3,317587.0,35135.0
sys_MMMM,0_1_5_8_9_11,4,395650.0,77279.0
sys_MMMM,0_1_5_8_9_11,5,89859.0,56159.0
sys_MMMM,0_1_5_8_9_11,6,271252.0,214719.0
sys_MMMM,2_3_4_5_6_9_11,1,167306.0,11495.0
sys_MMMM,2_3_4_5_6_9_11,2,75667.0,38096.0
sys_MMMM,2_3_4_5_6_9_11,3,105665.0,19935.0
sys_MMMM,2_3_4_5_6_9_11,4,54657.0,35135.0
sys_MMMM,2_3_4_5_6_9_11,5,61184.0,35135.0
sys_MMMM,2_3_4_5_6_9_11,6,430469.0,56159.0
sys_MMMM,2_3_4_5_6_9_11,7,271252.0,214719.0
sys_MMYY,6_11,1,329975.0,34989.0
sys_MMYY,6_11,2,346408.0,213771.0
sys_MMYY,2_8_11,1,96057.0,11432.0
sys_MMYY,2_8_11,2,377232.0,77026.0
sys_MMYY,2_8_11,3,203094.0,213771.0
sys_MMYY,0_4_5_7_11,1,12136.0,5322.0
sys_MMYY,0_4_5_7_11,2,221862.0,19861.0
sys_MMYY,0_4_5_7_11,3,54657.0,34989.0
sys_MMYY,0_4_5_7_11,4,97174.0,77026.0
sys_MMYY,0_4_5_7_11,5,293681.0,213771.0
sys_MMYY,2_3_4_5_9_11,1,96057.0,11432.0
sys_MMYY,2_3_4_5_9_11,2,55337.0,19861.0
sys_MMYY,2_3_4_5_9_11,3,82604.0,19861.0
sys_MMYY,2_3_4_5_9_11,4,54657.0,34989.0
sys_MMYY,2_3_4_5_9_11,5,252860.0,55712.0
sys_MMYY,2_3_4_5_9_11,6,137995.0,213771.0
sys_MMYY,0_1_5_8_9_11,1,12136.0,9680.0
sys_MMYY,0_1_5_8_9_11,2,33410.0,21002.0
sys_MMYY,0_1_5_8_9_11,3,239982.0,34989.0
sys_MMYY,0_1_5_8_9_11,4,187761.0,77026.0
sys_MMYY,0_1_5_8_9_11,5,65099.0,55712.0
sys_MMYY,0_1_5_8_9_11,6,137995.0,213771.0
sys_MMYY,2_3_4_5_6_9_11,1,96057.0,11432.0
sys_MMYY,2_3_4_5_6_9_11,2,55337.0,37148.0
sys_MMYY,2_3_4_5_6_9_11,3,82604.0,19861.0
sys_MMYY,2_3_4_5_6_9_11,4,54657.0,34989.0
sys_MMYY,2_3_4_5_6_9_11,5,44447.0,34989.0
sys_MMYY,2_3_4_5_6_9_11,6,208413.0,55712.0
sys_MMYY,2_3_4_5_6_9_11,7,137995.0,213771.0
sys_YYYY,6_11,1,329975.0,34989.0
sys_YYYY,6_11,2,352552.0,213771.0
sys_YYYY,2_8_11,1,96057.0,11432.0
sys_YYYY,2_8_11,2,383376.0,77026.0
