system,composition,homogeneous,workload,label,n_exits,accuracy,avg_et,avg_latency,avg_energy,et_reduction,classifier_share
sys_EYYY,EYYY,False,0_1_5_8_9_11,0_1_5_8_9_11_iter_2,6,88.51,478.84147834995383,567109.6755,0.0006363104266858778,1.5847978919169943,0.3830910360086226
sys_EYYY,EYYY,False,2_3_4_5_6_9_11,2_3_4_5_6_9_11_iter_6,7,88.53999999999999,509.57899798328293,558634.6623,0.0006391273940299397,1.5584051100490997,0.37669570025242427
sys_MMMM,MMMM,True,6_11,6_11_iter_0,2,87.28,582.8693822636618,747370.5719999999,0.00061732777084872,2.221172635837597,0.1754920511837183
sys_MMMM,MMMM,True,2_8_11,2_8_11_iter_0,3,87.35,595.5981781646569,753434.9025999999,0.0005590770887636081,2.1650556229409252,0.20664492816284677
sys_MMMM,MMMM,True,0_4_5_7_11,0_4_5_7_11_iter_0,5,88.03999999999999,584.8521802978216,722779.1116,0.000545288175393912,2.236705191248177,0.2300528937509914
sys_MMMM,MMMM,True,2_3_4_5_9_11,2_3_4_5_9_11_iter_3,6,88.4,729.6012626026821,847421.0053000001,0.0006284704734888641,1.8025303953498075,0.2324557923041599
sys_MMMM,MMMM,True,0_1_5_8_9_11,0_1_5_8_9_11_iter_2,6,88.51,725.3366830598843,863521.6902999999,0.000638291254350168,1.878636234700499,0.2600469735135487
sys_MMMM,MMMM,True,2_3_4_5_6_9_11,2_3_4_5_6_9_11_iter_6,7,88.53999999999999,743.311558065875,831207.4366,0.000632621614806776,1.8608399709240107,0.2571788567685469
sys_MMYY,MMYY,False,6_11,6_11_iter_0,2,87.28,406.20034173237127,516520.66189999995,0.0006345487553902033,1.9184640606811687,0.26740824906504934
sys_MMYY,MMYY,False,2_8_11,2_8_11_iter_0,3,87.35,406.55045775143753,486312.4096,0.0005781950944555771,1.933710870537553,0.30722696832064017
sys_MMYY,MMYY,False,0_4_5_7_11,0_4_5_7_11_iter_0,5,88.03999999999999,419.3946072409211,505012.9498,0.0005588541450674339,1.903753531826735,0.3342768838070928
sys_MMYY,MMYY,False,2_3_4_5_9_11,2_3_4_5_9_11_iter_3,6,88.4,516.1457239077926,576620.2942000001,0.0006470063162903475,1.554762645606227,0.3370530298435036
sys_MMYY,MMYY,False,0_1_5_8_9_11,0_1_5_8_9_11_iter_2,6,88.51,516.4317380987067,590686.2627,0.0006601432783441538,1.6043696374905985,0.3711397388209213
sys_MMYY,MMYY,False,2_3_4_5_6_9_11,2_3_4_5_6_9_11_iter_6,7,88.53999999999999,531.3145189609468,577255.4145,0.0006460583370761378,1.5712026995687292,0.36834871498491933
sys_YYYY,YYYY,True,6_11,6_11_iter_0,2,87.28,409.21641700776684,518167.8683,0.0006357429800302032,1.9290518554455196,0.26565371681330874
sys_YYYY,YYYY,True,2_8_11,2_8_11_iter_0,3,87.35,411.80216041422227,490218.1504,0.0005810267565355771,1.933774162830823,0.3053200602903798
sys_YYYY,YYYY,True,0_4_5_7_11,0_4_5_7_11_iter_0,5,88.03999999999999,419.3490480106484,503239.0027,0.0005607340466334473,1.9005435266076636,0.33527542777663144
sys_YYYY,YYYY,True,2_3_4_5_9_11,2_3_4_5_9_11_iter_3,6,88.4,516.048169514781,574635.2746,0.0006491098973129203,1.5522437793388162,0.338054919451661
sys_YYYY,YYYY,True,0_1_5_8_9_11,0_1_5_8_9_11_iter_2,6,88.51,516.4317380987067,590686.2627,0.0006601432783441538,1.6043696374905985,0.3711397388209213
sys_YYYY,YYYY,True,2_3_4_5_6_9_11,2_3_4_5_6_9_11_iter_6,7,88.53999999999999,531.2387611286349,575348.5699,0.0006480790738555406,1.5684144522056107,0.36939179698855246
